ChannelID,ChannelTitle,Subscribers,TotalViews,VideoCount,UploadsPlaylistID,Views_30d,Views_90d,Uploads_90d,AvgViewsPerRecent,SpendUSD,EngagementRate,CPS,CPM_lifetime,EstRevenue_lifetime,CPM_90d,EstRevenue_90d,ROI_lifetime,ROI_90d
UCXGgrKt94gR6lmN4aN3mYTg,Austin Evans,5690000,1594855012,2443,UUXGgrKt94gR6lmN4aN3mYTg,4248329.0,17320529.0,86.0,196412.705,1000,280.2908632688928,0.0001757469244288225,0.0006270162444083036,7974275.0600000005,0.05773495717134275,86602.64499999999,7974.275060000001,86.602645
UCVYamHliCI9rw1tHR1xbkfw,Dave2D,3690000,836036636,807,UUVYamHliCI9rw1tHR1xbkfw,3068368.0,5327912.0,10.0,946757.53,1200,226.56819403794037,0.0003252032520325203,0.0014353437975414272,4180183.18,0.225228945222819,26639.56,3483.4859833333335,22.199633333333335
UCWFKCr40YwOZQx8FHU_ZqqQ,JerryRigEverything,9630000,2659318566,1432,UUWFKCr40YwOZQx8FHU_ZqqQ,23108828.0,72338227.0,42.0,2017430.7,900,276.14938380062307,9.345794392523364e-05,0.0003384325637051187,13296592.83,0.012441554587728559,361691.135,14773.992033333334,401.8790388888889
UCXuqSBlHAE6Xw-yeJA0Tunw,Linus Tech Tips,16500000,8979755203,7459,UUXuqSBlHAE6Xw-yeJA0Tunw,26157380.0,97038488.0,75.0,1525001.605,1200,544.2275880606061,7.272727272727273e-05,0.00013363393242603075,44898776.015,0.0123662273056027,485192.44,37415.64667916667,404.32703333333336
UCBJycsmduvYEL83R_U4JriQ,Marques Brownlee,20400000,4988186082,1765,UUBJycsmduvYEL83R_U4JriQ,65279677.0,107121599.0,20.0,5395620.15,700,244.5189255882353,3.431372549019608e-05,0.0001403315731395764,24940930.410000004,0.006534629864888407,535607.995,35629.90058571429,765.1542785714286
UCMiJRAwDNSNzuYeN2uWa0pA,Mrwhosetheboss,21600000,7705706641,1845,UUMiJRAwDNSNzuYeN2uWa0pA,64411179.0,297666345.0,29.0,9601302.15,800,356.74567782407405,3.7037037037037037e-05,0.0001038191612101367,38528533.205,0.002687572893065892,1488331.7249999999,48160.666506249996,1860.4146562499998
UCdBK94H6oZT2Q7l0-b0xmMg,ShortCircuit,2490000,703503293,1087,UUdBK94H6oZT2Q7l0-b0xmMg,5554529.0,16599903.0,46.0,468101.705,500,282.53144297188754,0.00020080321285140563,0.0007107287271788221,3517516.465,0.030120657933965036,82999.51499999998,7035.032929999999,165.99902999999998
UCeeFfhMcJa1kjtfZAGskOCA,TechLinked,1980000,618628761,1191,UUeeFfhMcJa1kjtfZAGskOCA,4165018.0,16221299.0,37.0,489055.59,1000,312.4387681818182,0.000505050505050505,0.0016164783518689328,3093143.805,0.06164734402590076,81106.49500000001,3093.143805,81.10649500000001
UCddiUEpeqJcYeBxX1IVBKvQ,The Verge,3470000,1095573766,5540,UUddiUEpeqJcYeBxX1IVBKvQ,4908364.0,8259166.0,174.0,45143.88,600,315.7273100864553,0.0001729106628242075,0.0005476582395639437,5477868.83,0.0726465601974824,41295.829999999994,9129.781383333333,68.82638333333333
UCsTcErHg8oDvUnTzoqsYeNw,Unbox Therapy,24700000,4929693092,2418,UUsTcErHg8oDvUnTzoqsYeNw,12885273.0,34493819.0,35.0,1401435.485,750,199.58271627530365,3.036437246963563e-05,0.0001521392885932624,24648465.46,0.021743025902698682,172469.09500000003,32864.62061333333,229.95879333333338
